P0010001,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0040001,P0040002,P0040003,state_x,county_x,tract_x,block_x,geoid,P0120001,P0120002,P0120003,P0120004,P0120005,P0120006,P0120007,P0120008,P0120009,P0120010,P0120011,P0120012,P0120013,P0120014,P0120015,P0120016,P0120017,P0120018,P0120019,P0120020,P0120021,P0120022,P0120023,P0120024,P0120025,P0120026,P0120027,P0120028,P0120029,P0120030,P0120031,P0120032,P0120033,P0120034,P0120035,P0120036,P0120037,P0120038,P0120039,P0120040,P0120041,P0120042,P0120043,P0120044,P0120045,P0120046,P0120047,P0120048,P0120049,state_y,county_y,tract_y,block_y,H00010001,H0030001,H0030002,H0030003,H0040001,H0040002,H0040003,H0040004,H0050001,H0050002,H0050003,H0050004,H0050005,H0050006,H0050007,H0050008,state,county,tract,block
0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,3009,360050004003009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,3009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,3009
0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,3010,360050004003010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,3010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,3010
0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,3011,360050004003011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,3011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,3011
0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,3012,360050004003012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,3012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,3012
24,24,8,4,0,0,0,12,0,24,11,13,36,5,400,3013,360050004003013,24,10,0,1,2,1,0,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,14,0,2,1,1,0,0,0,1,0,1,3,1,1,0,1,1,0,0,0,0,1,0,0,36,5,400,3013,5,5,5,0,5,2,1,2,0,0,0,0,0,0,0,0,36,5,400,3013
238,238,48,63,8,6,0,95,18,238,55,183,36,5,400,4000,360050004004000,238,129,8,14,21,6,5,5,0,7,3,7,10,10,9,8,4,4,1,2,3,1,1,0,0,109,7,5,8,6,4,3,2,5,3,8,5,18,9,6,6,4,4,2,1,2,0,1,0,36,5,400,4000,79,79,74,5,74,45,0,29,5,3,0,0,1,0,0,1,36,5,400,4000
182,182,38,58,4,4,0,64,14,182,58,124,36,5,400,4001,360050004004001,182,99,9,12,10,3,4,2,2,4,6,9,6,6,11,8,2,0,2,0,0,2,1,0,0,83,3,4,5,6,4,3,2,5,1,6,5,11,13,4,4,3,1,1,1,0,1,0,0,36,5,400,4001,58,58,57,1,57,33,1,23,1,1,0,0,0,0,0,0,36,5,400,4001
67,67,15,34,0,3,0,15,0,67,25,42,36,5,400,4002,360050004004002,67,33,1,1,4,1,0,1,0,4,1,1,3,5,4,1,3,0,1,0,1,1,0,0,0,34,2,1,3,3,2,0,0,2,2,1,1,2,4,4,3,0,2,0,0,2,0,0,0,36,5,400,4002,25,25,25,0,25,14,0,11,0,0,0,0,0,0,0,0,36,5,400,4002
9,9,0,6,0,0,0,3,0,9,6,3,36,5,400,4003,360050004004003,9,4,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,36,5,400,4003,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,36,5,400,4003
0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,4004,360050004004004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,4004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,4004
0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,4005,360050004004005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,4005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,4005
0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,4006,360050004004006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,4006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,4006
156,156,37,44,3,1,0,61,10,156,43,113,36,5,400,4007,360050004004007,156,70,14,7,5,0,2,1,1,3,4,2,9,4,7,3,6,1,0,0,0,0,1,0,0,86,6,4,1,9,3,1,0,4,10,8,12,4,12,4,4,1,1,0,0,2,0,0,0,36,5,400,4007,54,54,51,3,51,27,1,23,3,0,3,0,0,0,0,0,36,5,400,4007
0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,4008,360050004004008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,4008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,4008
0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,4009,360050004004009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,4009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,4009
