P0010001,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0040001,P0040002,P0040003,state_x,county_x,tract_x,block_x,geoid,P0120001,P0120002,P0120003,P0120004,P0120005,P0120006,P0120007,P0120008,P0120009,P0120010,P0120011,P0120012,P0120013,P0120014,P0120015,P0120016,P0120017,P0120018,P0120019,P0120020,P0120021,P0120022,P0120023,P0120024,P0120025,P0120026,P0120027,P0120028,P0120029,P0120030,P0120031,P0120032,P0120033,P0120034,P0120035,P0120036,P0120037,P0120038,P0120039,P0120040,P0120041,P0120042,P0120043,P0120044,P0120045,P0120046,P0120047,P0120048,P0120049,state_y,county_y,tract_y,block_y,H00010001,H0030001,H0030002,H0030003,H0040001,H0040002,H0040003,H0040004,H0050001,H0050002,H0050003,H0050004,H0050005,H0050006,H0050007,H0050008,state,county,tract,block
0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,1,360050004000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,1
0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,2,360050004000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,2
560,560,120,142,4,13,5,241,35,560,181,379,36,5,400,1000,360050004001000,560,276,19,20,31,23,8,2,1,20,19,12,18,17,27,21,9,5,2,1,3,5,7,2,4,284,21,23,26,26,18,1,2,8,15,21,27,20,24,17,9,4,1,2,1,9,2,4,3,36,5,400,1000,175,175,165,10,165,33,5,127,10,8,0,0,0,1,0,1,36,5,400,1000
246,246,105,68,3,7,0,46,17,246,53,193,36,5,400,1001,360050004001001,246,119,9,12,15,9,7,0,2,3,6,4,11,8,2,13,3,2,5,0,1,2,3,2,0,127,3,13,6,11,5,1,2,6,6,9,9,12,7,6,10,3,1,3,1,3,3,5,2,36,5,400,1001,91,91,81,10,81,31,9,41,10,5,0,2,0,0,0,3,36,5,400,1001
41,41,24,9,0,0,0,3,5,41,8,33,36,5,400,1002,360050004001002,41,27,1,1,4,1,3,0,1,0,1,2,2,1,0,1,3,2,1,0,0,2,0,1,0,14,0,1,1,0,0,1,0,0,1,0,3,0,2,0,2,1,0,2,0,0,0,0,0,36,5,400,1002,12,12,12,0,12,7,3,2,0,0,0,0,0,0,0,0,36,5,400,1002
0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,1003,360050004001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,1003
119,119,27,36,0,1,0,45,10,119,20,99,36,5,400,1004,360050004001004,119,64,4,3,8,4,4,1,3,1,3,4,4,5,2,5,4,2,1,3,0,2,0,1,0,55,6,2,2,2,3,0,0,1,5,6,5,7,4,3,5,0,0,1,0,2,1,0,0,36,5,400,1004,43,43,36,7,36,10,2,24,7,5,0,0,0,0,0,2,36,5,400,1004
0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,1005,360050004001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,1005
29,29,4,5,1,0,0,19,0,29,5,24,36,5,400,2000,360050004002000,29,18,2,2,0,1,5,1,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,11,2,0,1,0,0,0,0,2,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,36,5,400,2000,10,10,9,1,9,0,0,9,1,1,0,0,0,0,0,0,36,5,400,2000
20,20,0,5,0,0,0,15,0,20,5,15,36,5,400,2001,360050004002001,20,6,1,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14,2,3,0,2,2,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,36,5,400,2001,4,4,4,0,4,0,0,4,0,0,0,0,0,0,0,0,36,5,400,2001
0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,2002,360050004002002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,400,2002
558,558,155,116,5,28,0,209,45,558,141,417,36,5,400,2003,360050004002003,558,273,17,24,28,18,16,7,6,9,16,9,23,20,15,17,11,5,12,0,3,6,4,4,3,285,26,21,26,25,12,3,2,9,14,25,23,22,16,7,14,6,5,5,5,5,4,8,2,36,5,400,2003,182,182,173,9,173,68,20,85,9,3,0,5,0,0,0,1,36,5,400,2003
210,210,85,43,0,0,0,77,5,210,52,158,36,5,400,2004,360050004002004,210,106,2,7,14,8,2,2,1,3,2,13,7,11,11,5,3,2,8,2,2,0,1,0,0,104,8,6,6,3,5,0,1,6,4,8,10,4,10,5,5,5,4,4,0,4,2,2,2,36,5,400,2004,73,73,66,7,66,27,7,32,7,5,0,2,0,0,0,0,36,5,400,2004
170,170,75,27,0,3,0,57,8,170,37,133,36,5,400,2005,360050004002005,170,93,6,6,10,5,2,0,1,5,7,6,5,4,10,6,5,2,1,5,1,4,2,0,0,77,5,6,4,7,0,0,1,3,6,5,7,9,6,4,1,2,4,3,1,1,0,2,0,36,5,400,2005,51,51,51,0,51,21,10,20,0,0,0,0,0,0,0,0,36,5,400,2005
208,208,65,74,0,7,0,45,17,208,73,135,36,5,400,2006,360050004002006,208,99,5,8,5,9,2,2,0,2,1,10,3,11,10,10,4,1,5,2,2,1,3,0,3,109,3,7,3,6,5,4,2,7,4,9,3,8,6,9,14,2,2,3,5,2,2,2,1,36,5,400,2006,65,65,62,3,62,28,10,24,3,1,0,1,0,0,0,1,36,5,400,2006
239,239,67,43,1,1,0,92,35,239,52,187,36,5,400,2007,360050004002007,239,115,3,13,15,16,4,1,4,2,12,3,7,8,5,8,3,2,1,0,0,6,1,0,1,124,8,11,8,6,2,3,1,2,8,10,8,9,13,8,7,0,1,2,4,6,2,1,4,36,5,400,2007,75,75,71,4,71,21,12,38,4,1,0,2,0,0,0,1,36,5,400,2007
58,58,23,4,0,4,0,24,3,58,14,44,36,5,400,3000,360050004003000,58,26,0,2,1,1,0,0,1,2,1,2,4,1,2,2,1,1,0,1,0,2,0,2,0,32,5,4,1,0,0,0,0,0,2,5,3,0,2,2,2,3,1,0,0,1,1,0,0,36,5,400,3000,22,22,21,1,21,6,5,10,1,0,0,0,1,0,0,0,36,5,400,3000
189,189,74,76,0,7,0,23,9,189,55,134,36,5,400,3001,360050004003001,189,92,4,6,10,8,7,1,1,2,2,5,3,7,9,7,4,1,7,0,0,5,0,2,1,97,6,3,5,4,5,1,3,7,4,8,3,8,6,3,8,1,6,1,5,3,2,1,4,36,5,400,3001,64,64,61,3,61,25,11,25,3,0,0,0,0,0,0,3,36,5,400,3001
184,184,79,49,7,1,0,35,13,184,47,137,36,5,400,3002,360050004003002,184,84,9,7,7,5,5,1,0,2,3,4,6,5,10,2,7,1,3,1,2,2,1,0,1,100,11,5,6,1,4,0,2,5,9,4,8,7,14,3,6,2,5,1,1,0,3,0,3,36,5,400,3002,60,60,57,3,57,19,10,28,3,0,0,0,0,0,0,3,36,5,400,3002
157,157,55,51,0,2,0,42,7,157,55,102,36,5,400,3003,360050004003003,157,77,5,6,4,4,0,1,1,8,5,4,9,8,8,4,3,0,0,2,3,2,0,0,0,80,4,6,2,4,5,3,4,4,15,3,3,7,10,3,0,0,3,2,0,1,0,0,1,36,5,400,3003,49,49,48,1,48,22,2,24,1,1,0,0,0,0,0,0,36,5,400,3003
20,20,7,11,0,0,0,0,2,20,10,10,36,5,400,3004,360050004003004,20,9,0,2,1,0,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,11,0,0,2,1,1,0,0,0,1,1,0,2,0,0,0,0,2,0,1,0,0,0,0,36,5,400,3004,6,6,6,0,6,5,1,0,0,0,0,0,0,0,0,0,36,5,400,3004
768,768,155,326,12,15,0,215,45,768,312,456,36,5,400,3005,360050004003005,768,376,29,29,18,19,16,9,4,14,12,30,39,36,37,18,32,9,8,0,6,6,4,0,1,392,23,23,22,17,11,8,3,14,16,29,30,50,30,34,38,11,7,3,7,9,5,0,2,36,5,400,3005,273,273,267,6,267,237,14,16,6,2,1,1,0,2,0,0,36,5,400,3005
115,115,29,55,0,4,0,24,3,115,49,66,36,5,400,3006,360050004003006,115,51,2,2,4,1,3,3,0,1,1,6,4,3,2,7,1,1,3,2,1,1,2,1,0,64,7,3,5,0,1,1,2,0,2,5,4,3,9,6,0,2,4,1,2,1,5,0,1,36,5,400,3006,47,47,47,0,47,42,4,1,0,0,0,0,0,0,0,0,36,5,400,3006
725,725,158,304,0,17,0,207,39,725,307,418,36,5,400,3007,360050004003007,725,326,33,32,25,11,7,3,2,12,15,32,27,26,36,13,25,8,10,1,1,2,4,1,0,399,12,25,25,19,10,11,9,12,22,45,27,44,37,25,25,15,12,2,4,5,0,4,9,36,5,400,3007,265,265,255,10,255,244,3,8,10,4,0,6,0,0,0,0,36,5,400,3007
211,211,44,82,0,0,1,66,18,211,74,137,36,5,400,3008,360050004003008,211,98,12,4,6,7,4,1,1,6,2,4,9,10,6,7,5,1,6,1,1,1,3,1,0,113,7,5,7,7,3,0,1,2,8,11,12,9,11,7,7,2,3,3,4,2,0,1,1,36,5,400,3008,113,113,80,33,80,65,6,9,33,4,1,10,18,0,0,0,36,5,400,3008
