P0010001,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0040001,P0040002,P0040003,state_x,county_x,tract_x,block_x,geoid,P0120001,P0120002,P0120003,P0120004,P0120005,P0120006,P0120007,P0120008,P0120009,P0120010,P0120011,P0120012,P0120013,P0120014,P0120015,P0120016,P0120017,P0120018,P0120019,P0120020,P0120021,P0120022,P0120023,P0120024,P0120025,P0120026,P0120027,P0120028,P0120029,P0120030,P0120031,P0120032,P0120033,P0120034,P0120035,P0120036,P0120037,P0120038,P0120039,P0120040,P0120041,P0120042,P0120043,P0120044,P0120045,P0120046,P0120047,P0120048,P0120049,state_y,county_y,tract_y,block_y,H00010001,H0030001,H0030002,H0030003,H0040001,H0040002,H0040003,H0040004,H0050001,H0050002,H0050003,H0050004,H0050005,H0050006,H0050007,H0050008,state,county,tract,block
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1,360050001000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,2,360050001000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,2
8634,8634,1242,5276,73,93,14,1932,4,8634,5833,2801,36,5,100,1000,360050001001000,8634,7724,0,0,0,347,743,384,368,978,1250,904,664,786,655,383,162,34,32,14,12,4,3,1,0,910,0,0,0,20,50,26,23,65,102,110,100,169,140,62,23,7,6,1,3,2,1,0,0,36,5,100,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1000
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1001,360050001001001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1001
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1002,360050001001002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1002
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1003,360050001001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1003
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1004,360050001001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1004
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1005,360050001001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1005
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1006,360050001001006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1006
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1007,360050001001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1007
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1008,360050001001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1008
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1009,360050001001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1009
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1010,360050001001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1010
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1011,360050001001011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1011
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1012,360050001001012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1012
2457,2457,482,1239,44,87,14,589,2,2457,1479,978,36,5,100,1013,360050001001013,2457,2455,0,0,0,0,55,67,84,212,356,325,307,370,358,200,84,15,9,3,5,5,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1013
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1014,360050001001014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1014
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1015,360050001001015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1015
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1016,360050001001016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1016
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1017,360050001001017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1017
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1018,360050001001018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1018
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1019,360050001001019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1019
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1020,360050001001020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1020
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1021,360050001001021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1021
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1022,360050001001022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1022
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1023,360050001001023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1023
0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1024,360050001001024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,100,1024
