P0010001,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0040001,P0040002,P0040003,state_x,county_x,tract_x,block_x,geoid,P0120001,P0120002,P0120003,P0120004,P0120005,P0120006,P0120007,P0120008,P0120009,P0120010,P0120011,P0120012,P0120013,P0120014,P0120015,P0120016,P0120017,P0120018,P0120019,P0120020,P0120021,P0120022,P0120023,P0120024,P0120025,P0120026,P0120027,P0120028,P0120029,P0120030,P0120031,P0120032,P0120033,P0120034,P0120035,P0120036,P0120037,P0120038,P0120039,P0120040,P0120041,P0120042,P0120043,P0120044,P0120045,P0120046,P0120047,P0120048,P0120049,state_y,county_y,tract_y,block_y,H00010001,H0030001,H0030002,H0030003,H0040001,H0040002,H0040003,H0040004,H0050001,H0050002,H0050003,H0050004,H0050005,H0050006,H0050007,H0050008,state,county,tract,block
181,181,157,4,0,16,0,1,3,181,168,13,36,47,100,1000,360470001001000,181,90,6,6,2,1,1,1,1,0,2,2,8,8,14,6,20,5,2,0,3,0,2,0,0,91,8,5,2,3,1,0,0,0,3,3,14,10,7,11,12,6,2,2,0,0,2,0,0,36,47,100,1000,88,88,87,1,87,70,11,6,1,0,0,1,0,0,0,0,36,47,100,1000
16,16,15,0,0,1,0,0,0,16,16,0,36,47,100,1001,360470001001001,16,7,0,0,2,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,1,1,0,1,1,2,1,0,0,0,0,0,0,0,0,36,47,100,1001,6,6,6,0,6,4,2,0,0,0,0,0,0,0,0,0,36,47,100,1001
31,31,26,0,0,4,0,1,0,31,31,0,36,47,100,1002,360470001001002,31,16,1,1,0,0,0,1,0,0,0,2,1,0,0,3,1,0,0,1,0,3,2,0,0,15,0,1,0,1,0,0,0,0,1,1,2,2,0,1,1,0,0,1,2,1,1,0,0,36,47,100,1002,16,16,15,1,15,9,4,2,1,0,0,0,0,0,0,1,36,47,100,1002
0,0,0,0,0,0,0,0,0,0,0,0,36,47,100,1003,360470001001003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,100,1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,100,1003
0,0,0,0,0,0,0,0,0,0,0,0,36,47,100,1004,360470001001004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,100,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,100,1004
0,0,0,0,0,0,0,0,0,0,0,0,36,47,100,1005,360470001001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,100,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,100,1005
4,4,4,0,0,0,0,0,0,4,4,0,36,47,100,1006,360470001001006,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,47,100,1006,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,36,47,100,1006
0,0,0,0,0,0,0,0,0,0,0,0,36,47,100,1007,360470001001007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,100,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,100,1007
0,0,0,0,0,0,0,0,0,0,0,0,36,47,100,1008,360470001001008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,100,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,100,1008
0,0,0,0,0,0,0,0,0,0,0,0,36,47,100,1009,360470001001009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,100,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,100,1009
