P0010001,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0040001,P0040002,P0040003,state_x,county_x,tract_x,block_x,geoid,P0120001,P0120002,P0120003,P0120004,P0120005,P0120006,P0120007,P0120008,P0120009,P0120010,P0120011,P0120012,P0120013,P0120014,P0120015,P0120016,P0120017,P0120018,P0120019,P0120020,P0120021,P0120022,P0120023,P0120024,P0120025,P0120026,P0120027,P0120028,P0120029,P0120030,P0120031,P0120032,P0120033,P0120034,P0120035,P0120036,P0120037,P0120038,P0120039,P0120040,P0120041,P0120042,P0120043,P0120044,P0120045,P0120046,P0120047,P0120048,P0120049,state_y,county_y,tract_y,block_y,H00010001,H0030001,H0030002,H0030003,H0040001,H0040002,H0040003,H0040004,H0050001,H0050002,H0050003,H0050004,H0050005,H0050006,H0050007,H0050008,state,county,tract,block
210,210,181,10,1,4,0,4,10,210,196,14,36,47,301,1000,360470003011000,210,115,8,7,3,0,3,7,6,11,3,11,6,8,10,11,3,1,1,2,1,7,2,4,0,95,9,8,4,1,0,1,0,6,1,7,10,13,8,6,3,1,3,0,5,3,4,0,2,36,47,301,1000,72,72,67,5,67,39,24,4,5,0,0,0,0,3,0,2,36,47,301,1000
635,635,548,20,0,39,0,4,24,635,589,46,36,47,301,1001,360470003011001,635,321,21,15,7,7,2,1,2,13,39,40,33,27,17,23,18,7,6,11,6,7,3,9,7,314,18,11,15,13,3,3,1,9,34,36,34,33,18,12,18,5,11,7,4,2,14,4,9,36,47,301,1001,347,347,326,21,326,65,41,220,21,7,0,2,0,3,0,9,36,47,301,1001
541,541,413,73,0,36,0,18,1,541,483,58,36,47,301,2000,360470003012000,541,295,1,5,0,0,0,4,2,10,28,33,32,23,31,25,24,8,19,5,7,9,14,5,10,246,5,2,0,1,1,0,1,3,16,24,31,22,30,24,24,8,11,4,10,7,6,6,10,36,47,301,2000,65,65,65,0,65,31,4,30,0,0,0,0,0,0,0,0,36,47,301,2000
761,761,658,22,3,56,0,6,16,761,718,43,36,47,301,2001,360470003012001,761,364,26,16,13,7,2,0,2,4,36,49,39,35,26,21,25,11,15,6,8,12,5,1,5,397,32,20,7,5,2,1,0,7,50,41,36,32,25,32,29,9,12,10,5,15,10,7,10,36,47,301,2001,450,450,413,37,413,150,63,200,37,12,1,0,4,10,0,10,36,47,301,2001
493,493,427,11,0,30,0,6,19,493,480,13,36,47,301,3000,360470003013000,493,234,20,7,4,3,0,0,0,12,22,18,24,16,18,17,18,9,11,6,6,9,6,4,4,259,16,8,6,6,0,0,1,16,22,22,28,12,21,19,21,9,13,7,13,7,1,6,5,36,47,301,3000,301,301,277,24,277,102,55,120,24,2,0,1,2,13,0,6,36,47,301,3000
396,396,349,10,2,21,0,5,9,396,373,23,36,47,301,3001,360470003013001,396,193,16,9,6,1,3,0,1,2,16,20,25,20,15,13,10,0,10,4,2,3,4,11,2,203,15,8,3,4,5,0,1,6,25,21,23,17,20,8,9,6,9,1,2,5,6,7,2,36,47,301,3001,230,230,217,13,217,54,25,138,13,5,0,1,1,2,0,4,36,47,301,3001
0,0,0,0,0,0,0,0,0,0,0,0,36,47,301,4000,360470003014000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,301,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,301,4000
0,0,0,0,0,0,0,0,0,0,0,0,36,47,301,4001,360470003014001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,301,4001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,301,4001
0,0,0,0,0,0,0,0,0,0,0,0,36,47,301,4002,360470003014002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,301,4002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,301,4002
0,0,0,0,0,0,0,0,0,0,0,0,36,47,301,4003,360470003014003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,301,4003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,47,301,4003
