P0010001,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0040001,P0040002,P0040003,state_x,county_x,tract_x,block_x,geoid,P0120001,P0120002,P0120003,P0120004,P0120005,P0120006,P0120007,P0120008,P0120009,P0120010,P0120011,P0120012,P0120013,P0120014,P0120015,P0120016,P0120017,P0120018,P0120019,P0120020,P0120021,P0120022,P0120023,P0120024,P0120025,P0120026,P0120027,P0120028,P0120029,P0120030,P0120031,P0120032,P0120033,P0120034,P0120035,P0120036,P0120037,P0120038,P0120039,P0120040,P0120041,P0120042,P0120043,P0120044,P0120045,P0120046,P0120047,P0120048,P0120049,state_y,county_y,tract_y,block_y,H00010001,H0030001,H0030002,H0030003,H0040001,H0040002,H0040003,H0040004,H0050001,H0050002,H0050003,H0050004,H0050005,H0050006,H0050007,H0050008,state,county,tract,block
1689,1689,1162,212,18,174,0,54,69,1689,1543,146,36,47,501,1000,360470005011000,1689,741,23,15,6,10,164,106,58,83,48,34,36,41,26,14,20,16,17,2,6,6,4,3,3,948,25,12,7,3,305,160,58,88,38,30,43,26,24,26,38,9,18,10,13,2,5,3,5,36,47,501,1000,361,361,340,21,340,219,94,27,21,0,0,12,7,1,0,1,36,47,501,1000
728,728,616,27,2,56,0,6,21,728,688,40,36,47,501,1001,360470005011001,728,336,9,9,11,3,1,1,1,17,47,44,31,23,19,29,26,7,12,9,9,11,8,6,3,392,10,4,5,3,2,2,2,15,60,73,40,33,26,31,21,8,18,3,6,11,6,9,4,36,47,501,1001,545,545,513,32,513,127,57,329,32,13,0,1,5,9,0,4,36,47,501,1001
544,544,375,30,1,107,0,20,11,544,492,52,36,47,501,2000,360470005012000,544,233,14,11,5,1,0,0,0,3,13,11,19,21,8,9,14,4,5,6,4,21,33,18,13,311,10,13,9,7,2,0,0,2,12,9,17,14,9,8,18,4,18,9,15,22,54,29,30,36,47,501,2000,340,340,328,12,328,53,33,242,12,4,1,3,0,3,0,1,36,47,501,2000
492,492,413,13,0,44,0,10,12,492,455,37,36,47,501,2001,360470005012001,492,252,25,11,1,3,0,0,0,8,25,29,26,25,26,15,13,7,12,5,6,7,3,3,2,240,10,7,5,1,2,1,3,6,34,28,24,21,26,12,14,4,10,2,7,10,7,3,3,36,47,501,2001,274,274,254,20,254,58,28,168,20,11,0,2,0,2,0,5,36,47,501,2001
168,168,157,3,0,3,1,0,4,168,163,5,36,47,501,3000,360470005013000,168,83,5,6,4,0,0,0,0,4,12,16,6,6,5,7,5,2,0,0,0,3,1,0,1,85,3,4,2,3,1,0,0,9,14,14,6,8,6,3,5,0,2,0,2,2,0,0,1,36,47,501,3000,88,88,83,5,83,9,3,71,5,3,0,0,0,2,0,0,36,47,501,3000
626,626,543,7,1,48,0,6,21,626,594,32,36,47,501,3001,360470005013001,626,299,20,9,5,2,2,0,0,5,22,40,32,32,27,13,34,10,10,4,9,12,3,4,4,327,28,8,6,2,1,0,0,10,31,48,32,35,15,21,23,5,14,6,12,9,7,10,4,36,47,501,3001,396,396,361,35,361,131,77,153,35,11,1,7,0,14,0,2,36,47,501,3001
