P0010001,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0040001,P0040002,P0040003,state_x,county_x,tract_x,block_x,geoid,P0120001,P0120002,P0120003,P0120004,P0120005,P0120006,P0120007,P0120008,P0120009,P0120010,P0120011,P0120012,P0120013,P0120014,P0120015,P0120016,P0120017,P0120018,P0120019,P0120020,P0120021,P0120022,P0120023,P0120024,P0120025,P0120026,P0120027,P0120028,P0120029,P0120030,P0120031,P0120032,P0120033,P0120034,P0120035,P0120036,P0120037,P0120038,P0120039,P0120040,P0120041,P0120042,P0120043,P0120044,P0120045,P0120046,P0120047,P0120048,P0120049,state_y,county_y,tract_y,block_y,H00010001,H0030001,H0030002,H0030003,H0040001,H0040002,H0040003,H0040004,H0050001,H0050002,H0050003,H0050004,H0050005,H0050006,H0050007,H0050008,state,county,tract,block
0,0,0,0,0,0,0,0,0,0,0,0,36,5,200,1,360050002000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,200,1
290,290,97,71,3,20,0,76,23,290,109,181,36,5,200,1000,360050002001000,290,132,9,12,13,4,2,2,2,5,8,7,8,7,9,12,13,2,6,1,5,1,4,0,0,158,10,10,13,4,6,1,1,4,12,9,13,8,13,12,11,7,4,2,5,6,4,3,0,36,5,200,1000,92,92,88,4,88,39,16,33,4,3,0,0,0,0,0,1,36,5,200,1000
254,254,98,57,5,0,0,91,3,254,55,199,36,5,200,1001,360050002001001,254,122,11,8,12,9,1,3,3,3,6,6,5,13,7,10,1,4,5,0,2,5,7,1,0,132,4,7,14,7,3,3,0,4,3,9,14,9,12,15,7,0,2,5,2,7,3,1,1,36,5,200,1001,72,72,66,6,66,31,7,28,6,3,0,1,0,0,0,2,36,5,200,1001
266,266,102,64,4,0,0,90,6,266,54,212,36,5,200,1002,360050002001002,266,120,5,11,16,7,3,2,4,4,9,5,8,8,9,9,6,1,2,2,2,1,5,1,0,146,15,7,15,11,4,1,2,2,9,11,14,10,10,6,3,0,5,3,4,6,5,0,3,36,5,200,1002,85,85,79,6,79,29,16,34,6,3,3,0,0,0,0,0,36,5,200,1002
246,246,105,86,3,1,0,36,15,246,86,160,36,5,200,1003,360050002001003,246,105,5,5,10,3,3,1,1,3,9,7,7,4,12,4,8,6,2,5,2,1,2,3,2,141,10,6,6,10,3,2,0,9,10,10,4,11,8,10,6,4,3,4,7,2,5,6,5,36,5,200,1003,92,92,84,8,84,32,18,34,8,4,2,0,0,0,0,2,36,5,200,1003
64,64,22,8,0,0,5,22,7,64,13,51,36,5,200,1004,360050002001004,64,26,0,1,1,3,1,0,1,2,4,1,1,2,3,2,0,0,1,2,0,0,0,1,0,38,3,3,2,2,0,1,0,4,6,2,1,4,3,2,2,0,0,0,0,1,1,1,0,36,5,200,1004,15,15,15,0,15,5,2,8,0,0,0,0,0,0,0,0,36,5,200,1004
0,0,0,0,0,0,0,0,0,0,0,0,36,5,200,1005,360050002001005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,200,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,200,1005
180,180,67,16,5,9,0,69,14,180,15,165,36,5,200,2000,360050002002000,180,102,6,9,11,6,6,0,0,0,5,6,4,6,3,7,10,3,3,3,3,5,3,3,0,78,2,9,8,3,2,3,1,0,4,5,11,1,5,4,3,2,4,2,1,0,3,5,0,36,5,200,2000,58,58,52,6,52,24,6,22,6,4,0,0,2,0,0,0,36,5,200,2000
198,198,93,30,0,23,0,43,9,198,57,141,36,5,200,2001,360050002002001,198,93,6,4,13,5,2,0,1,8,6,7,6,5,6,8,4,3,1,0,0,0,5,0,3,105,7,7,5,4,7,1,0,2,6,5,9,4,8,11,2,2,5,2,4,2,6,3,3,36,5,200,2001,67,67,63,4,63,30,10,23,4,2,0,1,0,0,0,1,36,5,200,2001
228,228,54,68,7,2,0,79,18,228,45,183,36,5,200,2002,360050002002002,228,107,7,8,6,3,0,3,1,10,7,12,5,10,3,6,8,2,6,2,0,4,2,1,1,121,8,9,14,3,3,1,4,3,3,8,9,12,8,9,5,7,5,1,2,3,3,1,0,36,5,200,2002,91,91,79,12,79,34,9,36,12,4,2,3,0,0,0,3,36,5,200,2002
213,213,43,55,0,0,0,93,22,213,51,162,36,5,200,2003,360050002002003,213,108,10,10,8,6,3,4,2,2,13,8,4,4,12,6,8,1,1,4,0,1,1,0,0,105,8,9,8,2,3,1,0,6,11,10,5,5,12,1,4,4,4,0,1,6,3,1,1,36,5,200,2003,70,70,65,5,65,36,3,26,5,3,0,1,0,0,0,1,36,5,200,2003
217,217,61,58,14,1,5,68,10,217,68,149,36,5,200,2004,360050002002004,217,105,12,12,13,5,2,2,2,8,4,11,3,8,2,5,5,0,3,1,3,1,3,0,0,112,10,7,6,9,5,0,1,12,13,5,6,9,7,7,3,3,4,1,1,1,1,1,0,36,5,200,2004,62,62,57,5,57,30,2,25,5,3,0,2,0,0,0,0,36,5,200,2004
68,68,32,15,1,8,0,9,3,68,28,40,36,5,200,2005,360050002002005,68,35,1,2,5,5,1,1,0,5,3,1,2,4,0,1,0,0,0,1,2,0,0,1,0,33,2,3,1,1,1,1,0,2,2,2,4,1,2,4,2,0,0,3,0,0,1,0,1,36,5,200,2005,20,20,20,0,20,11,0,9,0,0,0,0,0,0,0,0,36,5,200,2005
489,489,96,242,0,10,2,120,19,489,212,277,36,5,200,2006,360050002002006,489,216,27,19,19,11,14,4,4,10,18,9,13,15,10,4,15,3,2,6,6,2,2,3,0,273,17,25,19,10,8,5,1,11,16,25,19,18,19,14,20,5,11,6,6,5,6,6,1,36,5,200,2006,185,185,169,16,169,31,11,127,16,5,2,0,0,0,0,9,36,5,200,2006
277,277,39,173,0,1,0,43,21,277,154,123,36,5,200,2007,360050002002007,277,117,20,14,11,2,2,1,0,3,7,6,14,7,8,9,2,3,1,2,2,2,1,0,0,160,10,16,14,9,1,0,3,3,18,15,15,12,13,11,2,7,0,0,1,2,4,2,2,36,5,200,2007,87,87,80,7,80,12,3,65,7,2,1,1,0,0,0,3,36,5,200,2007
50,50,21,20,0,1,0,6,2,50,7,43,36,5,200,2008,360050002002008,50,17,0,0,0,1,0,0,0,0,3,1,0,0,1,3,2,1,2,0,0,3,0,0,0,33,2,3,2,2,0,0,0,1,7,1,0,0,2,2,1,2,5,0,0,1,1,0,1,36,5,200,2008,26,26,24,2,24,4,4,16,2,0,0,0,1,0,0,1,36,5,200,2008
13,13,6,0,0,0,0,7,0,13,1,12,36,5,200,2009,360050002002009,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,9,1,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,36,5,200,2009,6,6,6,0,6,2,2,2,0,0,0,0,0,0,0,0,36,5,200,2009
