P0010001,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0040001,P0040002,P0040003,state_x,county_x,tract_x,block_x,geoid,P0120001,P0120002,P0120003,P0120004,P0120005,P0120006,P0120007,P0120008,P0120009,P0120010,P0120011,P0120012,P0120013,P0120014,P0120015,P0120016,P0120017,P0120018,P0120019,P0120020,P0120021,P0120022,P0120023,P0120024,P0120025,P0120026,P0120027,P0120028,P0120029,P0120030,P0120031,P0120032,P0120033,P0120034,P0120035,P0120036,P0120037,P0120038,P0120039,P0120040,P0120041,P0120042,P0120043,P0120044,P0120045,P0120046,P0120047,P0120048,P0120049,state_y,county_y,tract_y,block_y,H00010001,H0030001,H0030002,H0030003,H0040001,H0040002,H0040003,H0040004,H0050001,H0050002,H0050003,H0050004,H0050005,H0050006,H0050007,H0050008,state,county,tract,block
41,41,20,0,0,0,0,21,0,41,4,37,36,5,200,2010,360050002002010,41,23,3,2,5,3,0,0,0,1,0,0,1,1,1,3,1,1,0,0,0,1,0,0,0,18,2,0,2,0,1,1,0,0,2,0,0,1,0,3,0,0,1,1,0,0,0,4,0,36,5,200,2010,13,13,13,0,13,5,3,5,0,0,0,0,0,0,0,0,36,5,200,2010
134,134,41,34,0,11,0,46,2,134,40,94,36,5,200,3000,360050002003000,134,72,4,3,7,6,5,1,0,2,4,3,10,2,9,4,3,1,3,1,2,1,0,1,0,62,1,4,5,3,0,2,0,1,9,4,5,3,5,4,4,2,4,1,0,1,1,3,0,36,5,200,3000,48,48,45,3,45,22,4,19,3,3,0,0,0,0,0,0,36,5,200,3000
146,146,52,12,3,4,0,62,13,146,26,120,36,5,200,3001,360050002003001,146,70,1,3,3,4,3,0,0,3,8,6,5,5,4,7,5,1,1,2,6,0,2,1,0,76,5,5,5,6,5,1,1,2,8,1,4,4,6,7,5,1,1,2,0,2,2,2,1,36,5,200,3001,41,41,40,1,40,22,9,9,1,1,0,0,0,0,0,0,36,5,200,3001
47,47,17,15,5,0,0,8,2,47,16,31,36,5,200,3002,360050002003002,47,23,0,1,2,1,1,1,0,2,2,3,1,0,2,0,0,1,1,1,1,0,0,1,2,24,0,0,0,2,1,0,2,0,1,0,0,1,5,5,0,0,2,0,0,2,0,2,1,36,5,200,3002,26,26,23,3,23,10,8,5,3,0,0,2,0,0,0,1,36,5,200,3002
31,31,14,1,0,0,0,10,6,31,0,31,36,5,200,3003,360050002003003,31,14,1,1,2,0,0,0,0,0,0,1,1,0,2,0,1,0,1,0,0,3,0,0,1,17,0,0,1,3,0,0,0,0,1,0,0,0,3,0,2,0,0,0,2,0,2,1,2,36,5,200,3003,12,12,11,1,11,6,2,3,1,1,0,0,0,0,0,0,36,5,200,3003
36,36,11,10,0,2,0,10,3,36,12,24,36,5,200,3004,360050002003004,36,15,0,1,1,2,0,0,0,0,0,1,0,1,4,0,2,0,1,1,0,0,0,0,1,21,0,0,1,0,0,0,0,1,2,1,1,4,2,2,3,0,1,0,0,1,0,2,0,36,5,200,3004,15,15,15,0,15,7,1,7,0,0,0,0,0,0,0,0,36,5,200,3004
22,22,9,5,0,0,0,4,4,22,17,5,36,5,200,3005,360050002003005,22,11,0,2,0,0,1,0,0,0,3,0,1,0,1,0,1,0,1,0,0,1,0,0,0,11,0,1,3,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,1,0,0,36,5,200,3005,8,8,8,0,8,2,3,3,0,0,0,0,0,0,0,0,36,5,200,3005
60,60,28,2,0,0,0,28,2,60,8,52,36,5,200,3006,360050002003006,60,30,0,2,2,0,0,1,0,0,4,2,3,1,7,4,3,0,0,0,0,1,0,0,0,30,3,3,2,0,0,0,0,1,3,1,2,2,4,3,4,0,0,0,0,0,1,0,1,36,5,200,3006,18,18,18,0,18,10,1,7,0,0,0,0,0,0,0,0,36,5,200,3006
52,52,20,20,0,0,0,10,2,52,20,32,36,5,200,3007,360050002003007,52,27,3,2,3,2,0,1,0,2,1,1,2,4,2,3,0,1,0,0,0,0,0,0,0,25,1,0,2,1,1,0,0,0,5,0,2,4,4,1,2,0,1,1,0,0,0,0,0,36,5,200,3007,19,19,18,1,18,8,0,10,1,0,0,0,0,1,0,0,36,5,200,3007
130,130,34,31,2,4,0,54,5,130,29,101,36,5,200,3008,360050002003008,130,59,6,3,5,5,6,0,0,7,5,4,2,1,3,8,2,0,1,0,1,0,0,0,0,71,9,6,3,2,6,3,0,1,9,7,3,8,3,5,3,1,0,0,1,1,0,0,0,36,5,200,3008,33,33,32,1,32,17,0,15,1,1,0,0,0,0,0,0,36,5,200,3008
53,53,8,23,0,14,0,6,2,53,38,15,36,5,200,3009,360050002003009,53,20,2,2,2,0,0,0,0,3,1,4,0,1,1,2,1,0,0,0,1,0,0,0,0,33,2,0,3,6,2,1,0,2,2,2,2,3,3,2,1,0,0,0,0,1,1,0,0,36,5,200,3009,20,20,19,1,19,9,1,9,1,1,0,0,0,0,0,0,36,5,200,3009
100,100,14,47,0,7,0,27,5,100,47,53,36,5,200,3010,360050002003010,100,39,2,5,2,2,1,2,0,3,2,2,2,6,5,1,2,0,1,0,0,0,0,0,1,61,7,4,6,5,1,0,0,4,4,6,6,8,0,5,2,1,1,0,0,0,0,1,0,36,5,200,3010,34,34,34,0,34,20,0,14,0,0,0,0,0,0,0,0,36,5,200,3010
120,120,23,31,0,20,0,44,2,120,47,73,36,5,200,3011,360050002003011,120,54,4,6,5,2,4,2,0,1,3,4,6,8,4,1,4,0,0,0,0,0,0,0,0,66,5,6,4,2,5,2,2,0,8,4,6,5,7,2,1,4,0,0,0,1,0,1,1,36,5,200,3011,35,35,34,1,34,21,0,13,1,1,0,0,0,0,0,0,36,5,200,3011
44,44,16,20,0,0,0,8,0,44,19,25,36,5,200,3012,360050002003012,44,24,2,2,2,0,1,1,0,1,2,3,1,2,1,1,1,0,1,1,1,1,0,0,0,20,0,2,1,1,0,0,0,0,3,3,0,2,0,0,2,3,0,0,0,1,0,1,1,36,5,200,3012,14,14,14,0,14,10,1,3,0,0,0,0,0,0,0,0,36,5,200,3012
9,9,0,1,0,0,0,8,0,9,1,8,36,5,200,3013,360050002003013,9,5,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,36,5,200,3013,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,36,5,200,3013
5,5,0,0,0,0,0,5,0,5,0,5,36,5,200,3014,360050002003014,5,3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,200,3014,2,2,1,1,1,1,0,0,1,0,0,0,0,1,0,0,36,5,200,3014
25,25,0,6,0,0,2,8,9,25,3,22,36,5,200,3015,360050002003015,25,13,1,0,2,0,0,1,0,1,1,0,0,5,0,2,0,0,0,0,0,0,0,0,0,12,0,1,1,1,0,0,0,0,1,2,1,1,1,1,0,0,0,1,0,1,0,0,0,36,5,200,3015,6,6,5,1,5,3,1,1,1,0,0,0,0,0,0,1,36,5,200,3015
27,27,13,0,0,0,0,11,3,27,0,27,36,5,200,3016,360050002003016,27,13,0,2,0,2,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,2,0,1,0,14,0,0,2,0,1,0,1,0,1,1,1,0,1,2,0,0,1,0,0,1,1,0,1,36,5,200,3016,9,9,9,0,9,3,1,5,0,0,0,0,0,0,0,0,36,5,200,3016
21,21,5,8,0,2,0,6,0,21,14,7,36,5,200,3017,360050002003017,21,9,0,0,0,1,0,0,0,1,0,0,0,0,2,2,2,0,0,0,1,0,0,0,0,12,1,0,0,0,0,0,0,2,2,0,0,1,1,2,1,0,0,0,1,1,0,0,0,36,5,200,3017,7,7,7,0,7,3,0,4,0,0,0,0,0,0,0,0,36,5,200,3017
10,10,6,4,0,0,0,0,0,10,0,10,36,5,200,3018,360050002003018,10,5,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,36,5,200,3018,4,4,4,0,4,2,0,2,0,0,0,0,0,0,0,0,36,5,200,3018
2,2,2,0,0,0,0,0,0,2,0,2,36,5,200,3019,360050002003019,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36,5,200,3019,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,36,5,200,3019
0,0,0,0,0,0,0,0,0,0,0,0,36,5,200,3020,360050002003020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,200,3020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,200,3020
0,0,0,0,0,0,0,0,0,0,0,0,36,5,200,3021,360050002003021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,200,3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,200,3021
18,18,13,0,0,0,0,5,0,18,0,18,36,5,200,3022,360050002003022,18,11,0,0,0,0,0,0,1,0,2,4,0,0,0,0,3,0,0,0,1,0,0,0,0,7,2,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,36,5,200,3022,7,7,6,1,6,1,1,4,1,0,0,0,0,0,0,1,36,5,200,3022
29,29,7,6,0,0,0,13,3,29,12,17,36,5,200,3023,360050002003023,29,17,0,2,1,0,0,0,0,2,3,0,2,3,2,0,1,0,0,1,0,0,0,0,0,12,1,0,1,0,0,0,0,0,2,1,2,0,2,0,0,0,0,1,1,0,0,1,0,36,5,200,3023,9,9,8,1,8,7,1,0,1,0,0,1,0,0,0,0,36,5,200,3023
36,36,13,17,0,0,0,6,0,36,20,16,36,5,200,3024,360050002003024,36,25,1,0,6,1,0,0,0,0,2,0,4,2,2,2,3,1,0,0,0,1,0,0,0,11,1,1,1,0,0,0,0,0,1,0,0,4,0,1,0,0,1,1,0,0,0,0,0,36,5,200,3024,9,9,8,1,8,7,0,1,1,1,0,0,0,0,0,0,36,5,200,3024
27,27,4,6,0,0,0,12,5,27,0,27,36,5,200,3025,360050002003025,27,9,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1,1,0,0,1,0,0,0,0,18,2,0,1,1,1,0,0,2,0,1,1,1,1,2,1,0,1,2,0,0,1,0,0,36,5,200,3025,10,10,10,0,10,4,3,3,0,0,0,0,0,0,0,0,36,5,200,3025
28,28,9,2,0,0,1,8,8,28,8,20,36,5,200,3026,360050002003026,28,14,0,1,2,1,0,1,0,0,0,0,1,1,0,0,2,0,3,0,0,2,0,0,0,14,1,2,1,0,0,1,0,0,0,2,1,1,0,0,2,1,1,1,0,0,0,0,0,36,5,200,3026,10,10,10,0,10,5,3,2,0,0,0,0,0,0,0,0,36,5,200,3026
28,28,17,0,0,0,0,9,2,28,5,23,36,5,200,3027,360050002003027,28,15,4,0,0,0,0,1,0,0,1,1,1,0,2,1,0,1,1,0,0,1,1,0,0,13,0,0,1,1,0,0,0,0,1,2,0,1,0,0,1,1,1,0,2,1,0,0,1,36,5,200,3027,9,9,9,0,9,3,3,3,0,0,0,0,0,0,0,0,36,5,200,3027
0,0,0,0,0,0,0,0,0,0,0,0,36,5,200,3028,360050002003028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,200,3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,200,3028
